anime_id,title,score,rank,popularity,members,favorites,episodes,type,duration,status,genres,studios
37510,Mob Psycho 100 II,8.78,42.0,73,1739299,33923,13.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Supernatural",Bones
31758,Kizumonogatari III: Reiketsu-hen,8.78,41.0,507,516420,8292,1.0,Movie,1 hr 22 min,Finished Airing,"Action,Mystery,Supernatural",Shaft
37521,Vinland Saga,8.78,43.0,61,1841524,57898,24.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Drama",Wit Studio
263,Hajime no Ippo,8.78,40.0,344,700687,25516,75.0,TV,23 min per ep,Finished Airing,Sports,Madhouse
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,44.0,117,1335493,16045,10.0,TV,24 min per ep,Finished Airing,Sports,Production I.G
199,Sen to Chihiro no Kamikakushi,8.77,45.0,45,2038983,35214,1.0,Movie,2 hr 4 min,Finished Airing,"Adventure,Award Winning,Fantasy",Studio Ghibli
48583,Shingeki no Kyojin: The Final Season Part 2,8.77,46.0,87,1577662,32602,12.0,TV,23 min per ep,Finished Airing,"Action,Drama,Suspense",MAPPA
17074,Monogatari Series: Second Season,8.76,47.0,327,722456,24435,26.0,TV,25 min per ep,Finished Airing,"Comedy,Mystery,Romance,Supernatural",Shaft
62276,Guimi Zhi Zhu Specials,8.75,49.0,6310,14321,99,3.0,ONA,24 min per ep,Finished Airing,"Action,Fantasy,Mystery,Suspense",B.CMAY PICTURES
60489,Takopii no Genzai,8.75,50.0,850,334011,7091,6.0,ONA,26 min per ep,Finished Airing,"Drama,Sci-Fi",Enishiya
1,Cowboy Bebop,8.75,48.0,41,2068619,90138,26.0,TV,24 min per ep,Finished Airing,"Action,Award Winning,Sci-Fi",Sunrise
58788,Ikoku Nikki,8.73,54.0,2156,117866,1991,13.0,TV,23 min per ep,Finished Airing,Drama,Shuka
39894,Hibike! Euphonium 3,8.73,53.0,2418,99652,2246,13.0,TV,24 min per ep,Finished Airing,Drama,Kyoto Animation
47917,Bocchi the Rock!,8.73,52.0,286,805844,37258,12.0,TV,23 min per ep,Finished Airing,Comedy,CloverWorks
50160,Kingdom 4th Season,8.73,55.0,2552,92093,1215,26.0,TV,24 min per ep,Finished Airing,Action,"Studio Pierrot,Studio Signpost"
48569,86 Part 2,8.73,51.0,379,651902,18882,12.0,TV,23 min per ep,Finished Airing,"Drama,Sci-Fi",A-1 Pictures
21,One Piece,8.73,56.0,17,2700680,253805,,TV,24 min,Currently Airing,"Action,Adventure,Fantasy",Toei Animation
53223,Kingdom 5th Season,8.72,58.0,3160,64245,625,13.0,TV,24 min per ep,Finished Airing,Action,"Studio Pierrot,Studio Signpost"
52215,Chi. Chikyuu no Undou ni Tsuite,8.72,57.0,925,305559,8049,25.0,TV,25 min per ep,Finished Airing,Drama,Madhouse
24701,Mushishi Zoku Shou 2nd Season,8.72,60.0,958,294375,1579,10.0,TV,23 min per ep,Finished Airing,"Adventure,Mystery,Slice of Life,Supernatural",Artland
50172,Mob Psycho 100 III,8.72,59.0,249,872314,12823,12.0,TV,23 min per ep,Finished Airing,"Action,Comedy,Supernatural",Bones
60098,Boku no Hero Academia: Final Season,8.71,61.0,876,325486,3213,11.0,TV,23 min per ep,Finished Airing,Action,Bones Film
